date,category,transaction,description
2024-07-02,INCOME,2500.0,VENMO CASHOUT 240702 1035409991580 ZIAN CHEN
2024-07-11,INCOME,1268.52,E6XUNITED TECHNO DIRECT DEP 
2024-07-15,INCOME,2000.0,eDeposit in Branch 07/15/24 09:08:10 AM 2499 JERICHO TPKE GARDEN CITY PARK NY 8592
2024-07-15,INCOME,1500.0,"E6XUNITED TECHNO DIRECT DEP 240715 516093471985E6X CHEN,ZIAN"
2024-07-15,INCOME,1000.0,"E6XUNITED TECHNO DES:DIRECT DEP ID:XXXXX3471986E6X INDN:CHEN,ZIAN CO ID:XXXXX11103 PPD"
2024-07-24,INCOME,293.5,SMART CHOICE ACT DEPOSIT 
2024-07-29,INCOME,1268.52,E6XUNITED TECHNO DIRECT DEP 
2024-07-31,INCOME,1000.0,"E6XUNITED TECHNO DES:DIRECT DEP ID:XXXXX1021819E6X INDN:CHEN,ZIAN CO ID:XXXXX11103 PPD"
2024-07-31,INCOME,1500.0,"E6XUNITED TECHNO DIRECT DEP 240731 542071021818E6X CHEN,ZIAN"
